Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the code with special characters,NFRM1-67,10079,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000en:,,,,,,,,,,To Do
Verify the code with more than 10 characters,NFRM1-66,10078,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000ef:,,,,,,,,,,To Do
Verify the coupon name with blank,NFRM1-65,10077,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000e7:,,,,,,,,,,To Do
Verify the coupon name with alphanumericals,NFRM1-64,10076,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000dz:,,,,,,,,,,To Do
Verify the coupon name with special characters,NFRM1-63,10075,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000dr:,,,,,,,,,,To Do
Verify the coupon name  with less than 3 characters,NFRM1-62,10074,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:14 PM,18/Feb/22 3:14 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000dj:,,,,,,,,,,To Do
Verify the coupon name with alphabets,NFRM1-61,10073,Test,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 3:13 PM,18/Feb/22 3:13 PM,21/Feb/22 10:00 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,{},,,,0|i000db:,,,,,,,,,,To Do
Filter button functionality with invalid email,NFRM1-60,10072,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 3:04 PM,18/Feb/22 5:36 PM,18/Feb/22 4:58 PM,,,0,"!image-20220218-093621.png|width=1458,height=447!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-50,,18/Feb/22 3:06 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-093621.png;https://semanto06.atlassian.net/secure/attachment/10014/image-20220218-093621.png,,,,,,{},,,,0|i0002f:5q,,NFRM1 Sprint 1,,,,,,,,To Do
Add button functionality with invalid last name,NFRM1-59,10071,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 3:02 PM,18/Feb/22 5:36 PM,18/Feb/22 3:52 PM,,,0,"!image-20220218-093334.png|width=1423,height=442!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-48,,18/Feb/22 3:03 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-093334.png;https://semanto06.atlassian.net/secure/attachment/10013/image-20220218-093334.png,,,,,,{},,,,0|i0002f:5qr,,NFRM1 Sprint 1,,,,,,,,To Do
Telephone number blank,NFRM1-58,10070,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:58 PM,18/Feb/22 5:36 PM,18/Feb/22 4:42 PM,,,0,"!image-20220218-093041.png|width=1440,height=563!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-37,,18/Feb/22 3:00 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-093041.png;https://semanto06.atlassian.net/secure/attachment/10012/image-20220218-093041.png,,,,,,{},,,,0|i0002f:5qv,,NFRM1 Sprint 1,,,,,,,,To Do
Last name blank,NFRM1-57,10069,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:54 PM,18/Feb/22 5:36 PM,18/Feb/22 3:51 PM,,,0,"!image-20220218-092538.png|width=1428,height=437!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-34,,18/Feb/22 2:56 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-092538.png;https://semanto06.atlassian.net/secure/attachment/10011/image-20220218-092538.png,,,,,,{},,,,0|i0002f:5qi,,NFRM1 Sprint 1,,,,,,,,To Do
First name with more than 32 characters,NFRM1-56,10068,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:50 PM,18/Feb/22 5:36 PM,18/Feb/22 3:51 PM,,,0,"!image-20220218-092039.png|width=1442,height=386!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-28,,18/Feb/22 2:50 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-092039.png;https://semanto06.atlassian.net/secure/attachment/10010/image-20220218-092039.png,,,,,,{},,,,0|i0002f:5i,,NFRM1 Sprint 1,,,,,,,,To Do
Password with more than 30 characters,NFRM1-55,10067,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:47 PM,18/Feb/22 5:36 PM,18/Feb/22 3:51 PM,,,0,"!image-20220218-091722.png|width=1431,height=706!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-15,,18/Feb/22 2:47 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-091722.png;https://semanto06.atlassian.net/secure/attachment/10009/image-20220218-091722.png,,,,,,{},,,,0|i0002f:5o,,NFRM1 Sprint 1,,,,,,,,To Do
First name blank,NFRM1-54,10066,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:38 PM,18/Feb/22 3:55 PM,18/Feb/22 9:57 PM,,,0,,,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-29,,18/Feb/22 2:38 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-2022-02-18-14-38-35-154.png;https://semanto06.atlassian.net/secure/attachment/10008/image-2022-02-18-14-38-35-154.png,,,,,,{},,,,0|i0002f:5,,NFRM1 Sprint 1,,,,,,,,To Do
Email id with more than one @,NFRM1-53,10065,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:27 PM,18/Feb/22 5:36 PM,18/Feb/22 3:51 PM,,,0,"!image-20220218-085819.png|width=1435,height=493!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-22,,18/Feb/22 2:28 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-085819.png;https://semanto06.atlassian.net/secure/attachment/10007/image-20220218-085819.png,,,,,,{},,,,0|i0002f:5p,,NFRM1 Sprint 1,,,,,,,,To Do
Email id with missing username,NFRM1-52,10064,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 2:23 PM,18/Feb/22 5:36 PM,18/Feb/22 3:51 PM,,,0,,,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-24,,18/Feb/22 2:23 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-2022-02-18-14-23-45-872.png;https://semanto06.atlassian.net/secure/attachment/10005/image-2022-02-18-14-23-45-872.png,,,,,,{},,,,0|i0002f:5k,,NFRM1 Sprint 1,,,,,,,,To Do
Email id with missing @,NFRM1-51,10063,Bug,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,18/Feb/22 1:36 PM,18/Feb/22 5:36 PM,18/Feb/22 3:54 PM,,,0,"!image-20220218-080630.png|width=1438,height=490!",,Semanto saini,620b3034ef2bd5006ae8ba04,,,,,,,,,NFRM1-21,,18/Feb/22 1:36 PM;ug:2ae69a0e-68ed-4266-9767-034dd3e029d7;image-20220218-080630.png;https://semanto06.atlassian.net/secure/attachment/10004/image-20220218-080630.png,,,,,,{},,,,0|i0002f:5m,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the filter button functionality with invalid email,NFRM1-50,10062,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:04 PM,18/Feb/22 9:04 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002f:62,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the filter button functionality with valid affiliate name,NFRM1-49,10061,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:46 PM,18/Feb/22 9:46 PM,18/Feb/22 3:19 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i000an:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the add button functionality with invalid last name(last name having more than 32 characters),NFRM1-48,10060,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 3:50 PM,20/Feb/22 5:58 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002f:r,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the add button functionality with valid first name,NFRM1-47,10059,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:47 PM,18/Feb/22 9:47 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i000a7:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the value of field with current value,NFRM1-46,10058,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:47 PM,18/Feb/22 9:47 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0009z:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the dropdown property by clicking the List box,NFRM1-45,10057,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:48 PM,18/Feb/22 9:48 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0009r:,,NFRM1 Sprint 1,,,,,,,,Done
Veify the city with digits,NFRM1-44,10056,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:49 PM,18/Feb/22 9:48 PM,18/Feb/22 3:19 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0009j:,,NFRM1 Sprint 1,,,,,,,,Done
Veify the city with special characters,NFRM1-43,10055,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:49 PM,18/Feb/22 9:49 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0009b:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the tracking code with digits,NFRM1-42,10054,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:49 PM,18/Feb/22 9:49 PM,18/Feb/22 3:19 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i00093:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the tracking code with alphabets,NFRM1-41,10053,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:49 PM,18/Feb/22 9:49 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0008v:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the tracking code with alphanumericals,NFRM1-40,10052,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:50 PM,18/Feb/22 9:50 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0008n:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the tracking code with special characters,NFRM1-39,10051,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 9:51 PM,18/Feb/22 9:51 PM,18/Feb/22 3:18 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0008f:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the telphone number by entering space between the digits,NFRM1-38,10050,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 5:36 PM,18/Feb/22 9:30 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0002l:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the telphone number by blank,NFRM1-37,10049,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:19 AM,18/Feb/22 3:49 PM,18/Feb/22 9:06 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002f:6,,NFRM1 Sprint 1,,,,,,,,To Do
